"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"2818500000","24357","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:31","2023/01/02 23:04:02","2014"
"2820000000","47905","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:31","2023/01/02 23:04:02","2014"
"2823700000","56601","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:32","2023/01/02 23:04:02","2014"
"2824500000","27490","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:33","2023/01/02 23:04:02","2014"
"2826000000","38343","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:34","2023/01/02 23:04:02","2014"
"2871000000","18736","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:34","2023/01/02 23:04:02","2014"
"2872000000","4302","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:35","2023/01/02 23:04:02","2014"
"2900000000","159822","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:35","2023/01/02 23:04:02","2014"
"2911000000","18919","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:36","2023/01/02 23:04:02","2014"
"2914000000","32286","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:37","2023/01/02 23:04:02","2014"
"2915500000","29591","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:37","2023/01/02 23:04:02","2014"
"2917000000","49182","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:38","2023/01/02 23:04:02","2014"
"2920000000","29844","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:39","2023/01/02 23:04:02","2014"
"3000000000","158329","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:39","2023/01/02 23:04:02","2014"
"3011000000","33663","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:40","2023/01/02 23:04:02","2014"
"3014000000","36214","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:41","2023/01/02 23:04:02","2014"
"3017000000","44745","명","<통계청 국가통계포털> → 주민등록인구현황 : 행정구역(읍/면/동)별/5세별 주민등록인구(2011년~) → 65세 이상 인구 추출","2023/01/02 23:01:41","2023/01/02 23:04:02","2014"
