"MNG_NO","RGN_CD","STDG_CD","DONG_CD","INSTL_DT","PRDCT_FBCTN_BZENTY","INSTL_BZENTY","WHOL_HGT","FBRC_NM","YR","LOT","LAT","OPEN_DMRS","SHLT_TYPE_CD","USE_YN","FCLT_KND_SE_CD","AREA","LEN","ATPSR","INJQTY","TIME_JET_HR","ADDR"
"관리번호","지역코드","법정동코드","행정동코드","설치일시","제품제작업체","설치업체","전체높이","원단명","연도","경도","위도","펼침지름","그늘막유형코드","사용여부","시설종류구분코드","면적","길이","분사압","분사량","1회분사시간","주소"
"1","2650000000","2650010400","2650077000","20180717","메탈크래프트","어가그린물산","3","메쉬","2023","129.1173605","35.1519968","3","1","Y","001","","","","","","부산광역시 수영구 광안해변로 199 비치비키니 앞 (광안동)"
"1","2653000000","2653010700","2653067000","20190701","젠텍","아트앤티이","5","메쉬","2023","128.9891102","35.1412662","5","1","N","1","0","0","0","0","0","부산광역시 사상구 학장동  562"
"1","2671000000","2671025027","2671025000","20190610","본네이처","본네이처","3.7","메쉬","2023","129.2178087","35.2356882","3","1","N","1","0","0","0","0","0","부산광역시 기장군 기장읍 청강리 298-7"
"1","2711000000","2711015400","2711059500","20190611","","","4","메쉬","2023","128.577287","35.863597","4","1","Y","001","","","","","","대구광역시 중구 대신동 2011 대신e편한세상 101동 앞 횡단보도"
"1","2714000000","2714010200","2714057000","20180810","대상디자인","대상디자인","3","아크릴","2023","128.6254817","35.8761554","5","2","Y","001","","","","","","대구광역시 동구 동대구로 507 대구동부소방서 앞 교통섬 (신천동)"
"1","2717000000","2717010300","2717064000","20220623","","","","","2023","128.5627264","35.8720409","","2","Y","001","","","","","","대구광역시 서구 국채보상로 289 kt 서대구지사 앞  (평리동)"
"1","2720000000","2720010300","2720059000","20180825","(주)젠텍","(주)예송디자인","3","","2023","128.5739552","35.8510593","4","1","Y","001","","","","","","대구광역시 남구 양지로 8 성당시장네거리(대명사회복지관 앞) (대명동)"
"1","2723000000","2723010500","2723051000","20170530","㈜썬세이드","㈜썬세이드","3","매쉬","2023","128.5845173","35.8843505","5","1","Y","001","","","","","","대구광역시 북구 옥산로 80 북부도서관 남편 (고성동3가)"
"1","2726000000","2726010100","2726051000","20190521","(주)대상디자인","(주)대상디자인","3","","2023","128.6273531","35.8587333","5","2","Y","001","","","","","","대구광역시 수성구 동대구로 330 범어네거리 남동편(수성구청 라인) (범어동)"
"1","2729000000","2729012300","2729061500","20200721","피닉스 코리아","피닉스 코리아","3","쿨라루메쉬(방수)","2023","128.5324559","35.8002256","4","1","Y","001","","","","","","대구광역시 달서구 갈밭남로 17 호정포레스트 아파트 앞 (대곡동, 대구대곡수목원호정포레스트)"
"1","2771000000","2771025024","2771025000","20180628","메탈크래프트","상원씨앤피","3.5","메쉬","2023","128.4894145","35.7985024","4","1","N","1","0","0","0","0","0","대구광역시 달성군 화원읍 설화리 565"
"1","2811000000","2811012700","2811054000","20180802","디-사인팩토리","디-사인팩토리","4","메쉬","2023","126.6351577","37.466565","45","1","Y","001","","","","","","인천광역시 중구 서해대로 456 신흥사거리(신흥시장 앞 교통섬) (신흥동2가)"
"1","2814000000","2814010300","2814055500","20170801","썬세이드","썬세이드","3","메쉬","2023","126.632959","37.4768027","3","1","Y","001","","","","","","인천광역시 동구 화도진로 52 이영우 내과의원 맞은편 횡단보도(동인천역북광장) (송현동)"
"1","2817700000","2817710200","2817757000","20180731","","","3","","2023","126.6493948","37.4487002","4","1","Y","001","","","","","","인천광역시 미추홀구 용현동 664-7 인하대역 앞 교통섬"
"1","2818500000","2818510300","2818576200","20180201","","","0","매쉬","2023","126.6817881","37.4121939","0","1","Y","001","","","","","","인천광역시 연수구 벚꽃로 172 관리사무소 (연수동, 대동아파트)"
"1","2823700000","2823710600","2823764100","20190620","(주)세명테크","(주)세명테크","3","메시원단","2023","126.7216937","37.516066","5","1","Y","001","","","","","","인천광역시 부평구 갈산동 181 갈산역사거리(웨딩홀 앞)"
"1","2824500000","2824510300","2824562200","20170908","㈜황해엠에스","㈜황해엠에스","4","메쉬","2023","126.722864","37.530113","5","1","Y","001","","","","","","인천광역시 계양구 작전동 833-9 작전역사거리 3,4번 출구 앞"
"1","2826000000","2826010300","2826051500","20190501","메탈크래프트","은제상사","3","녹색","2023","126.674","37.5684","5","1","Y","001","","","","","","인천광역시 서구 검암동 399-107 공항철도 검암역 입구 횡단보도 앞"
"1","2872000000","2872031022","2872031000","20200512","","","4","","2023","126.43927","37.51445","4","1","Y","001","","","","","","인천광역시 옹진군 북도면 신도로 5-1  신도선착장 앞 "
"1","2914000000","2914012000","2914074500","20180624","피닉스코리아","피닉스코리아","3","룰라루","2023","126.8480345","35.1518698","4","1","Y","001","","","","","","광주광역시 서구 상무중앙로 57 타임스타워 앞 (치평동, S클래스 상가)"
"1","2915500000","2915510700","2915571000","20180701","젠텍","영풍그늘막","3","메쉬","2023","126.9004904","35.1020881","4","1","Y","001","","","","","","광주광역시 남구 효덕로 192(노대동)"
"1","2917000000","2917010900","2917060100","20181213","대원텐트","대원텐트","3","메쉬","2023","126.8765114","35.1783073","4","1","Y","001","","","","","","광주광역시 북구 북문대로 97 문화신협 앞 교통섬 (운암동)"
"1","2920000000","2920010100","2920051500","20190709","메탈크래프트","메탈크래프트","3","메시","2023","126.8022437","35.1358535","4","1","Y","001","","","","","","광주광역시 광산구 송정동 282-14 용봉교차로"
"1","3011000000","3011011600","3011066500","20190819","","","3","매쉬","2023","127.4356137","36.3406711","1","1","Y","001","","","","","","대전광역시 동구 우암로 163-1 (성남동)"
"1","3014000000","3014011000","3014063000","20180701","","","","","2023","127.4311941","36.318994","","1","Y","001","","","","","","대전광역시 중구 대사동 63-12 충무로네거리 교통섬"
"1","3017000000","3017010100","3017051000","20180629","젠텍","썬세이드","3","메쉬","2023","127.3783381","36.2983618","4","1","Y","001","","","","","","대전광역시 서구 복수남로 28 스타벅스 앞 (복수동)"
"1","3020000000","3020011100","3020061000","20170723","젠텍","썬세이드","3","매쉬","2023","127.3406009","36.3459507","5","1","Y","001","","","","","","대전광역시 유성구 봉명동 1028-1 KB국민등행 도안지점 앞"
"1","3023000000","3023011000","3023053300","20190802","유퍼니","유퍼니","3","메쉬","2023","127.4456959","36.3552177","3","1","Y","001","","","","","","대전광역시 대덕구 비래동 512 비래휴플러스 104동 앞"
"1","3111000000","3111011800","3111052000","20170807","메탈크래프트","메탈크래프트","3","메쉬형","2023","129.3410056","35.5583015","5","1","Y","001","","","","","","울산광역시 중구 화합로 363 반구사거리 교통섬 (반구동)"
